Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A523532,China,12/30/14,3:01PM,Return to Owner,,Dog,Intact Female,12 years,Boxer,Brown/White
A523533,Vida,12/30/14,3:01PM,Return to Owner,,Dog,Spayed Female,14 years,Boxer Mix,Brown
A694286,,12/30/14,3:09PM,Transfer,Partner,Dog,Spayed Female,1 year,Dachshund Mix,Black/Brown
A694552,Kila,12/30/14,4:00PM,Euthanasia,Aggressive,Dog,Spayed Female,15 years,Pit Bull/Australian Cattle Dog,Brown Brindle/White
A694332,,12/30/14,4:10PM,Euthanasia,Suffering,Dog,Intact Male,6 months,Cairn Terrier/Chihuahua Shorthair,Brown/White
A693511,Camila,12/30/14,4:16PM,Adoption,,Dog,Spayed Female,5 years,Belgian Sheepdog,Sable
A693656,*Rosie,12/30/14,4:19PM,Adoption,,Dog,Spayed Female,3 years,Beagle Mix,Tricolor
A694360,,12/30/14,4:53PM,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
A693439,*Steve,12/30/14,5:04PM,Adoption,,Dog,Neutered Male,10 months,Australian Kelpie Mix,Black/White
A694339,,12/30/14,5:11PM,Adoption,,Dog,Neutered Male,5 months,Border Collie Mix,Black/White
A688671,Dobby,12/30/14,5:16PM,Return to Owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
A659400,Darth Caedus,12/30/14,5:27PM,Return to Owner,,Dog,Neutered Male,4 years,German Shepherd/Alaskan Malamute,Brown/White
A694346,Finn,12/30/14,5:37PM,Adoption,,Dog,Neutered Male,2 months,Doberman Pinsch Mix,Chocolate/Tan
A694347,Max,12/30/14,5:39PM,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Tan/Black
A694319,Ralph,12/30/14,5:43PM,Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Brown/Black
A694542,Bodhi,12/30/14,5:44PM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A694381,Stubs,12/30/14,6:09PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A694380,Black Jack,12/30/14,6:16PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A694553,,12/30/14,6:35PM,Euthanasia,Suffering,Cat,Unknown,5 years,Domestic Longhair Mix,Orange Tabby
A694353,,12/30/14,6:36PM,Euthanasia,Suffering,Cat,Intact Female,10 years,Siamese Mix,White/Black
A694554,,12/30/14,6:36PM,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
A689572,Sugar Ray,12/30/14,6:49PM,Transfer,Partner,Other,Intact Male,1 year,Californian Mix,White
A693853,,12/30/14,6:50PM,Transfer,Partner,Other,Intact Male,1 year,New Zealand Wht Mix,White
A694466,Neko,12/30/14,6:51PM,Return to Owner,,Dog,Neutered Male,1 year,Pekingese Mix,Red/Black
A692592,Hello Kitty,12/30/14,6:59PM,Adoption,,Cat,Spayed Female,7 years,Domestic Medium Hair Mix,Calico
A692921,*Tess,12/30/14,7:16PM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
A694559,Khloe,12/30/14,7:17PM,Return to Owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Tan
A694136,Hershey,12/31/14,12:00AM,Return to Owner,,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Chocolate
A685697,Catniss,12/31/14,7:55AM,Adoption,Foster,Cat,Intact Female,5 months,Domestic Shorthair Mix,Orange Tabby
A694468,,12/31/14,8:39AM,Died,In Kennel,Cat,Intact Male,5 days,Domestic Shorthair Mix,Brown Tabby
A690707,*Bobby,12/31/14,8:50AM,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A578097,Juno,12/31/14,9:01AM,Euthanasia,Suffering,Cat,Spayed Female,6 years,Siamese Mix,Lynx Point
A683566,*Collin,12/31/14,9:02AM,Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever Mix,Buff
A690554,Gonzo,12/31/14,9:31AM,Adoption,Foster,Dog,Neutered Male,8 months,Staffordshire Mix,Tan/White
A691971,*Rio,12/31/14,11:37AM,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull/Weimaraner,Fawn
A694387,Oreo,12/31/14,11:46AM,Adoption,,Dog,Neutered Male,7 months,Rat Terrier Mix,White/Tricolor
A684496,Rosie,12/31/14,11:50AM,Adoption,,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black/White
A694445,,12/31/14,12:32PM,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A694584,Miss Crush,12/31/14,12:52PM,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A688593,*Sophie,12/31/14,12:56PM,Adoption,Foster,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,White/Black
A666703,Leo,12/31/14,1:09PM,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Yellow Brindle/White
A694124,*Logan,12/31/14,1:20PM,Transfer,Partner,Dog,Neutered Male,10 years,Australian Shepherd Mix,Black/Brown
A688605,*Blue,12/31/14,1:22PM,Adoption,,Dog,Neutered Male,1 year,American Staffordshire Terrier,Blue/White
A554865,Pepe,12/31/14,1:25PM,Adoption,,Dog,Neutered Male,6 years,Chihuahua Shorthair,White
A656121,*Parker,12/31/14,1:48PM,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A639613,Sparkle,12/31/14,2:21PM,Adoption,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black/White
A694483,Blaze,12/31/14,2:44PM,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
A694213,Tweak,12/31/14,2:48PM,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White
A694172,Dizzy,12/31/14,3:09PM,Adoption,,Dog,Neutered Male,10 months,Catahoula/Labrador Retriever,Tan/White
A693325,Sheila,12/31/14,3:14PM,Adoption,,Dog,Spayed Female,4 years,Australian Shepherd/Boxer,Brown Brindle/White
A691731,Stella,12/31/14,3:32PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Tan
A573350,Orson,12/31/14,3:49PM,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby
A694383,,12/31/14,4:03PM,Adoption,,Dog,Spayed Female,2 months,Akita Mix,Brown/White
A694370,Weenie,12/31/14,4:08PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A694410,,12/31/14,4:24PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A694409,,12/31/14,4:25PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A694215,Travis,12/31/14,4:28PM,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Chocolate/White
A694460,Lola Bleu,12/31/14,4:30PM,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A694479,Happy,12/31/14,4:34PM,Adoption,,Dog,Neutered Male,8 months,Pbgv,Tricolor
A694469,,12/31/14,4:37PM,Died,In Kennel,Cat,Intact Male,5 days,Domestic Shorthair Mix,Brown Tabby
A694606,,12/31/14,4:38PM,Euthanasia,Aggressive,Dog,Intact Female,4 years,Pit Bull Mix,Brown Brindle/White
A694400,,12/31/14,4:42PM,Adoption,,Dog,Neutered Male,8 months,German Shepherd Mix,Sable
A694386,Chris,12/31/14,4:49PM,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby
A667416,Rosalie,12/31/14,5:10PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Tan
A692491,Bailey,12/31/14,5:20PM,Adoption,,Dog,Spayed Female,8 months,Black Mouth Cur Mix,Brown/Black
A604679,Snowball,01/01/15,12:00AM,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Cream
A689250,*Chrissy,01/01/15,10:45AM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A689248,*Jack,01/01/15,10:51AM,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
A689249,*Janet,01/01/15,10:51AM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A684268,Groot,01/01/15,11:05AM,Adoption,,Dog,Neutered Male,3 years,Great Dane/Mastiff,Black/White
A629484,Honey,01/01/15,11:11AM,Return to Owner,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Tan/White
A694443,Shadoe,01/01/15,11:27AM,Adoption,,Dog,Spayed Female,8 months,Dalmatian,White/Black
A694327,Tux,01/01/15,11:28AM,Return to Owner,,Dog,Neutered Male,13 years,Labrador Retriever Mix,Black/White
A685191,Mandy,01/01/15,12:10PM,Adoption,,Dog,Spayed Female,1 year,Border Collie Mix,Black/White
A693158,*Daisy,01/01/15,12:38PM,Adoption,Foster,Dog,Spayed Female,2 years,Australian Cattle Dog,Blue Tick/Black
A691464,*Bonzai,01/01/15,1:06PM,Adoption,Foster,Dog,Neutered Male,9 months,Chinese Sharpei/Labrador Retriever,Tan
A694631,Night Wing,01/01/15,1:25PM,Return to Owner,,Dog,Neutered Male,5 years,Boxer Mix,Brown/White
A694006,Gracie,01/01/15,1:31PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A694365,Luna,01/01/15,1:54PM,Adoption,,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Blue Merle
A694480,,01/01/15,2:02PM,Adoption,,Dog,Spayed Female,8 months,Pbgv,White/Tan
A694614,Striker,01/01/15,2:25PM,Return to Owner,,Dog,Intact Male,4 years,Rottweiler,Black/Brown
A659194,*Norman,01/01/15,2:40PM,Return to Owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Black/Tan
A694411,Bella,01/01/15,2:53PM,Transfer,Partner,Dog,Spayed Female,4 years,Great Dane,Black
A687841,Sunset,01/01/15,3:19PM,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Cream Tabby
A694639,Haze,01/01/15,3:29PM,Transfer,Partner,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
A694393,Bailey,01/01/15,3:41PM,Adoption,,Dog,Spayed Female,4 years,Australian Shepherd Mix,White/Brown
A694433,Honey,01/01/15,4:49PM,Adoption,,Dog,Spayed Female,1 year,Pug/Chihuahua Shorthair,Tan
A694501,Penelope,01/01/15,5:07PM,Return to Owner,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Black/White
A694589,Road Dog,01/01/15,5:17PM,Return to Owner,,Dog,Neutered Male,6 months,Pit Bull Mix,Brown
A693162,,01/01/15,5:21PM,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog/Border Collie,Black/White
A694356,Aladar,01/01/15,5:24PM,Adoption,,Dog,Neutered Male,9 months,Miniature Schnauzer/Border Collie,Black/White
A694453,,01/01/15,5:27PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/Black
A694446,Samuel,01/01/15,5:29PM,Adoption,,Dog,Neutered Male,1 year,Beagle Mix,Red/White
A694660,Mojo,01/01/15,5:47PM,Return to Owner,,Dog,Neutered Male,5 years,Labrador Retriever/Rhod Ridgeback,Black/White
A694444,Moose,01/01/15,5:50PM,Adoption,,Dog,Neutered Male,4 months,Cardigan Welsh Corgi Mix,Black
A694432,Belle,01/01/15,5:51PM,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A694424,Sherlock,01/01/15,6:01PM,Adoption,,Dog,Neutered Male,1 year,Pug Mix,Fawn
A694406,Star,01/01/15,6:35PM,Return to Owner,,Dog,Intact Female,4 years,Pit Bull Mix,Black/White
A694407,Max,01/01/15,6:35PM,Return to Owner,,Dog,Intact Male,1 year,Pit Bull Mix,Black/White
A694478,Trixie,01/01/15,6:58PM,Adoption,,Dog,Spayed Female,8 months,Pbgv,Brown
A675828,Buttercup,01/01/15,7:11PM,Adoption,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Fawn
A675830,*Lily,01/01/15,7:13PM,Adoption,,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Black/White
A694566,,01/02/15,12:00AM,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White
A694659,,01/02/15,9:00AM,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White
A694649,,01/02/15,11:31AM,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A690236,Oliver,01/02/15,12:02PM,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby
A694283,*Mallory,01/02/15,12:03PM,Adoption,,Dog,Spayed Female,10 months,Boxer/Pit Bull,Brown Brindle/White
A462580,Chico,01/02/15,12:26PM,Return to Owner,,Dog,Neutered Male,10 years,Pit Bull,Brown Brindle/White
A693366,,01/02/15,12:40PM,Transfer,Partner,Dog,Spayed Female,5 years,Rat Terrier Mix,Black/White
A694578,Mick Jagger,01/02/15,12:50PM,Return to Owner,,Dog,Neutered Male,1 year,Chow Chow Mix,Black
A690296,*Leroy,01/02/15,12:57PM,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Red/White
A676071,Jackson,01/02/15,1:15PM,Adoption,,Dog,Neutered Male,5 years,Labrador Retriever,Black
A688863,Thayer,01/02/15,1:23PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
A694489,,01/02/15,1:43PM,Transfer,Partner,Dog,Intact Male,7 years,Cavalier Span,Red/White
A693587,Scruffy,01/02/15,1:46PM,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Gray
A592707,Sarang,01/02/15,2:02PM,Return to Owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue Tabby
A693473,Rolo,01/02/15,2:03PM,Transfer,Partner,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
A692007,Mimi,01/02/15,2:04PM,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Longhair Mix,Blue Tabby
A690835,*Brooke,01/02/15,2:05PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A694087,*Merry,01/02/15,2:08PM,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog/Labrador Retriever,Red Merle
A694558,*Willow,01/02/15,2:08PM,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A694565,,01/02/15,2:09PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
A694560,,01/02/15,2:09PM,Transfer,Partner,Cat,Intact Female,6 days,Domestic Shorthair Mix,Tortie
A694564,*Petunia,01/02/15,2:09PM,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Blue
A694561,,01/02/15,2:09PM,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair Mix,White
A694562,,01/02/15,2:09PM,Transfer,Partner,Cat,Intact Female,6 days,Domestic Shorthair Mix,Black
A694567,,01/02/15,2:09PM,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White
A694568,,01/02/15,2:10PM,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White
A694569,,01/02/15,2:10PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue/White
A676356,Lemon Drop,01/02/15,3:14PM,Adoption,,Dog,Spayed Female,2 years,Pointer/Catahoula,Tan/White
A694278,Mya,01/02/15,4:50PM,Transfer,Partner,Dog,Spayed Female,7 years,Great Dane,Black/White
A694441,*Perdita,01/02/15,4:57PM,Adoption,,Dog,Spayed Female,2 years,Dalmatian,White/Black
A694502,Biscuit,01/02/15,5:19PM,Adoption,,Dog,Spayed Female,8 years,Dachshund/German Shepherd,Black/Tan
A694651,Auslyn,01/02/15,5:33PM,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Black/White
A694513,,01/02/15,5:36PM,Adoption,,Cat,Neutered Male,2 months,Ragdoll Mix,Flame Point
A694055,Stella,01/02/15,5:38PM,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black
A694404,*Joni,01/02/15,5:39PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A694503,,01/02/15,5:52PM,Adoption,,Dog,Neutered Male,2 years,Beagle Mix,White
A694520,Pickle,01/02/15,5:57PM,Adoption,,Dog,Neutered Male,10 months,Dachshund,Black/White
A694519,,01/02/15,6:18PM,Adoption,,Dog,Neutered Male,5 years,Dachshund,Red
A694512,Loki,01/02/15,6:19PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A694701,Peaches,01/02/15,6:32PM,Return to Owner,,Dog,Spayed Female,1 year,Boxer/Labrador Retriever,White/Brown Brindle
A692754,Dexter,01/02/15,6:39PM,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White
A694109,*Zachary,01/02/15,6:43PM,Adoption,,Dog,Neutered Male,2 years,Collie Smooth Mix,White/Brown
A694434,,01/02/15,6:44PM,Adoption,,Dog,Neutered Male,1 year,Whippet Mix,Brown/White
A691707,Mitzy,01/02/15,6:50PM,Return to Owner,,Dog,Spayed Female,1 year,Miniature Poodle Mix,Blue/Black
A691691,Tiva,01/02/15,6:52PM,Adoption,,Dog,Spayed Female,11 months,German Shepherd/Labrador Retriever,Red
A694476,Milo,01/02/15,6:59PM,Adoption,,Dog,Neutered Male,11 months,Harrier,Tricolor
A694680,,01/03/15,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby/White
A694715,,01/03/15,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A694679,,01/03/15,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black
A694677,,01/03/15,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
A694678,,01/03/15,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
A694514,,01/03/15,11:20AM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black
A693249,*Brodie,01/03/15,12:12PM,Adoption,Foster,Dog,Neutered Male,2 months,Doberman Pinsch Mix,Black/Brown
A686690,Bella,01/03/15,12:17PM,Adoption,,Dog,Spayed Female,10 months,Blue Lacy Mix,Blue/White
A694577,*Penny,01/03/15,12:20PM,Adoption,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Brown
A694529,Sherry,01/03/15,12:35PM,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico/White
A690431,*Spooky,01/03/15,1:34PM,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black
A694726,Lacy,01/03/15,1:53PM,Adoption,,Dog,Spayed Female,8 months,Golden Retriever/Labrador Retriever,Gold
A694442,*Paloma,01/03/15,1:55PM,Adoption,,Dog,Spayed Female,8 months,Dalmatian,White/Black
A694295,Tido,01/03/15,2:19PM,Transfer,Partner,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Brown Brindle/White
A693977,Hendrix,01/03/15,2:20PM,Adoption,,Dog,Neutered Male,3 years,Catahoula Mix,White/Brown Merle
A694550,,01/03/15,2:54PM,Transfer,Partner,Dog,Intact Male,3 years,Anatol Shepherd Mix,Brown/White
A694251,,01/03/15,3:22PM,Euthanasia,Behavior,Dog,Intact Female,2 years,Pit Bull Mix,White/Black
A693529,*Buhner,01/03/15,3:31PM,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Catahoula,White/Black
A694738,Moxie,01/03/15,3:57PM,Return to Owner,,Dog,Spayed Female,3 years,Boxer/Staffordshire,Brown Brindle/White
A693932,Lila,01/03/15,4:46PM,Adoption,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White
A694728,Duke,01/03/15,4:51PM,Adoption,,Dog,Neutered Male,5 years,Australian Cattle Dog,Brown Brindle/White
A694518,*Hailey,01/03/15,4:56PM,Adoption,,Dog,Spayed Female,1 year,Beagle/Labrador Retriever,Chocolate/White
A694655,Smokey,01/03/15,5:10PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A694541,Kalamazzoo,01/03/15,5:17PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A694184,,01/03/15,5:24PM,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A694556,,01/03/15,5:24PM,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair/Border Terrier,Red/White
A694395,*Zooey,01/03/15,5:26PM,Adoption,,Dog,Spayed Female,7 months,Labrador Retriever/Boxer,Tan/White
A694764,,01/03/15,5:35PM,Euthanasia,Suffering,Cat,Unknown,3 years,Siamese Mix,White/Brown
A694326,Harley,01/03/15,5:41PM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
A694532,,01/03/15,5:43PM,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby/White
A691053,Luke,01/03/15,5:45PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Tan
A694531,,01/03/15,5:49PM,Adoption,,Dog,Neutered Male,1 year,German Shepherd/Siberian Husky,Sable
A694575,Crayon,01/03/15,6:06PM,Adoption,,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Calico
A694245,Cookie,01/03/15,6:11PM,Return to Owner,,Dog,Spayed Female,1 year,Chihuahua Longhair/Dachshund Longhair,Blue Merle/Black
A694367,Clay,01/03/15,6:17PM,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Australian Cattle Dog,White/Brown
A694650,Betsy,01/03/15,6:21PM,Return to Owner,,Dog,Spayed Female,8 months,Boxer/American Staffordshire Terrier,Brown Brindle/White
A694241,Napoleon,01/03/15,6:38PM,Return to Owner,,Dog,Neutered Male,2 years,German Shepherd,Black/Tan
A694641,Prissy,01/03/15,6:43PM,Return to Owner,,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Brown
A694284,Boosts,01/03/15,6:46PM,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White
A694706,June,01/03/15,6:51PM,Return to Owner,,Dog,Spayed Female,8 months,German Shepherd Mix,Sable
A694517,Robbie,01/03/15,6:52PM,Adoption,,Dog,Neutered Male,1 year,Beagle/Labrador Retriever,Black/White
A694299,Rubble,01/03/15,6:54PM,Adoption,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Chocolate/Tan
A694549,Boswell,01/03/15,6:56PM,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Miniature Schnauzer,Black
A694770,,01/04/15,9:00AM,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Blue/White
A685260,Sweetie,01/04/15,11:45AM,Transfer,Partner,Dog,Spayed Female,10 months,Pointer/Border Collie,Black/White
A684420,*Ghost,01/04/15,11:49AM,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,White/Pink
A694579,Mox,01/04/15,12:13PM,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White
A693835,Eddie,01/04/15,12:21PM,Adoption,,Dog,Neutered Male,1 year,Border Collie/Standard Schnauzer,Black/White
A631379,Moon Pie,01/04/15,12:39PM,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby/White
A694384,,01/04/15,12:51PM,Transfer,Partner,Dog,Spayed Female,2 months,Akita Mix,Brown/Black
A694405,*Dylan,01/04/15,1:00PM,Adoption,,Cat,Neutered Male,4 months,Domestic Longhair,Orange Tabby
A694396,*J.D.,01/04/15,1:04PM,Transfer,Partner,Dog,Neutered Male,7 months,Labrador Retriever/Boxer,Tan/White
A694500,Zari,01/04/15,1:10PM,Transfer,Partner,Dog,Spayed Female,9 years,Dachshund Mix,Red
A694557,*Loki,01/04/15,1:11PM,Transfer,Partner,Dog,Neutered Male,2 years,Cavalier Span/Toy Poodle,White
A694397,Natural,01/04/15,1:58PM,Return to Owner,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Brown/Tricolor
A691061,Alex,01/04/15,2:01PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A694591,*Ginger,01/04/15,2:20PM,Transfer,Partner,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A694763,Zeus,01/04/15,2:39PM,Return to Owner,,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White
A694115,Gambit,01/04/15,2:40PM,Transfer,Partner,Dog,Neutered Male,1 year,Boxer Mix,Brown Brindle
A692341,Maggie,01/04/15,2:42PM,Return to Owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
A692340,Paul,01/04/15,3:05PM,Return to Owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A694597,*Jordy,01/04/15,3:11PM,Adoption,,Dog,Neutered Male,6 months,Whippet Mix,Tan
A692970,Romeo,01/04/15,3:19PM,Transfer,Partner,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Orange Tabby/White
A692486,*Dakota,01/04/15,4:14PM,Adoption,,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Tan/White
A645140,Biscuit,01/04/15,4:22PM,Adoption,,Dog,Neutered Male,7 years,Jack Russell Terrier/Australian Cattle Dog,Tan/White
A693465,Vangogh,01/04/15,4:27PM,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
A691342,Charlie,01/04/15,4:30PM,Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Orange Tabby
A694593,*Ella Mae,01/04/15,4:46PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor
A694756,Gus,01/04/15,5:10PM,Return to Owner,,Dog,Neutered Male,13 years,Labrador Retriever Mix,Black
A694574,Olive Mae,01/04/15,5:10PM,Adoption,,Dog,Spayed Female,5 years,Rat Terrier/Pembroke Welsh Corgi,White/Black Brindle
A680120,*Buttercup,01/04/15,5:23PM,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,Tan/Brown
A694587,,01/04/15,5:24PM,Adoption,,Dog,Spayed Female,2 months,American Bulldog Mix,Brown/White
A694608,*Millie,01/04/15,5:27PM,Transfer,Partner,Dog,Spayed Female,8 months,Rat Terrier Mix,Tricolor
A694340,*Lolly,01/04/15,5:41PM,Adoption,,Dog,Spayed Female,8 months,German Shepherd/Labrador Retriever,Chocolate/Black
A692091,Dobby,01/04/15,5:47PM,Adoption,Foster,Dog,Neutered Male,1 year,Black/Tan Hound Mix,Tricolor
A694600,Ted,01/04/15,5:59PM,Adoption,,Dog,Neutered Male,2 months,Border Terrier/Chihuahua Shorthair,Tan
A694167,Zeus,01/04/15,6:02PM,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,White/Brown
A694607,,01/04/15,6:06PM,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A693528,*Jackson,01/04/15,6:09PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue Tiger/White
A694142,*Trevor,01/04/15,6:14PM,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
A644165,Killer,01/04/15,6:24PM,Transfer,Partner,Dog,Neutered Male,4 years,German Shepherd Mix,Brown/Black
