Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A693530,,12/16/14,2:12PM,2200 S Pleasant Valley in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Longhair Mix,Blue
A693893,Cash,12/16/14,2:48PM,20500 Dawn Dr in Lago Vista (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Cattle Dog,Brown/White
A693894,Shiva,12/16/14,2:54PM,1817 E. Oltorf. St. in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Black/White
A693896,,12/16/14,3:10PM,2056 Wickersham Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White
A693895,Rocky,12/16/14,3:11PM,6200 Palm Circle in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Cairn Terrier Mix,Cream
A693898,*Raleigh,12/16/14,3:19PM,4300 Quinlan Park Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Flat Coat Retriever Mix,Black/White
A693899,Hickup,12/16/14,3:30PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,White/Black
A693900,Snipe,12/16/14,3:30PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White
A693901,Mimi,12/16/14,3:34PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A693561,Luna,12/16/14,3:49PM,4605 E. 12Th Street in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,German Shepherd Mix,Black/Tan
A693905,,12/16/14,4:03PM,2602 E 3Rd St in Austin (TX),Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair Mix,Calico
A693904,Caid,12/16/14,4:04PM,600 Meadow Lea in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black
A693907,Ian,12/16/14,4:10PM,20439 Fm 969 in Webberville (TX),Stray,Normal,Dog,Neutered Male,7 months,Cairn Terrier Mix,Black/White
A693908,,12/16/14,4:26PM,8300 Furness Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Shih Tzu Mix,White/Brown
A693910,*Kyra,12/16/14,4:32PM,16419 Fm 969 in Manor (TX),Stray,Normal,Dog,Intact Female,2 years,Boxer,Tan
A693911,,12/16/14,4:45PM,8700 Evelyn Rd in Mustang Ridge (TX),Stray,Injured,Dog,Intact Female,1 year,Boxer/Dogue De Bordeaux,Red
A693925,,12/16/14,5:48PM,8908 Ipswich Bay Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,Seal Point
A693924,,12/16/14,5:48PM,8908 Ipswich Bay Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,Seal Point
A693912,Shoshes,12/16/14,6:16PM,Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Tan
A693918,Blitzen,12/16/14,6:22PM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A693913,Tobias,12/16/14,6:22PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,9 months,Chihuahua Shorthair Mix,Tan
A670953,Penny,12/16/14,6:30PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Australian Kelpie Mix,Red
A693922,Sheba,12/16/14,6:41PM,7102 N Sioux Trail in Austin (TX),Stray,Normal,Cat,Spayed Female,15 years,Domestic Longhair Mix,Black/White
A693923,Lilly,12/16/14,6:51PM,Crest Meadow Ln & Currin in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Pug Mix,Brown Brindle
A692182,Cruz,12/16/14,9:29PM,9133 Northgate Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 months,Border Collie/Dachshund,Black
A687043,Austin,12/17/14,7:46AM,1904 Valleyhigh in Austin (TX),Stray,Sick,Dog,Neutered Male,9 months,Pit Bull Mix,White/Tan
A693933,Simba,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,Blue Tabby/White
A693936,Baby,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,12 years,Siamese Mix,Lilac Point
A693931,Zila,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Medium Hair Mix,Blue Tabby/White
A693932,Lila,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,8 years,Domestic Shorthair Mix,Black/White
A693930,Bahkara,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,8 years,Domestic Shorthair Mix,Black
A693934,Pixie,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,White/Brown Tabby
A693929,Anakin,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Blue/White
A693935,Willow,12/17/14,10:36AM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,5 years,Domestic Shorthair Mix,Black/White
A693938,King,12/17/14,11:00AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Tan/White
A658920,Scotty,12/17/14,11:14AM,Maha Loop And Von Quintus Rd in Travis (TX),Stray,Normal,Dog,Neutered Male,7 years,Miniature Poodle Mix,White
A693940,Bricks,12/17/14,11:29AM,6910 Hyland Cir in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue
A693942,William,12/17/14,11:40AM,1411 Luna St in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Labrador Retriever/Australian Cattle Dog,Red
A693943,*Rusty,12/17/14,12:23PM,Neans Dr And Parkville in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Cattle Dog Mix,Brown Merle
A693945,Lady,12/17/14,1:02PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Chow Chow/Golden Retriever,Red
A693568,Princess,12/17/14,1:05PM,12148 Trotwood in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A693833,Kyzer,12/17/14,1:24PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,7 years,Pit Bull Mix,Black/White
A693946,Achilles,12/17/14,1:28PM,Comal /Manor in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Boxer/Pit Bull,Red/White
A693947,Chachacci,12/17/14,1:41PM,7101 Geneva in Austin (TX),Stray,Aged,Dog,Neutered Male,14 years,Schipperke Mix,Black
A693948,Cricket,12/17/14,1:55PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Tibetan Spaniel Mix,Brown Brindle
A625274,Brown Suga,12/17/14,1:59PM,Mcneil And Parmer in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,White/Tan
A693235,Achilles,12/17/14,2:08PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown/White
A663489,Chickee,12/17/14,2:21PM,Garland Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,Tricolor
A693955,,12/17/14,2:30PM,11215 Research Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black/White
A693954,Diamond,12/17/14,3:38PM,Thurgood Ave & Jolena Cir in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Rat Terrier Mix,White/Black
A558166,Foxie,12/17/14,4:14PM,Hwy 620 And Anderson Mill in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Siberian Husky,Red/White
A693966,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 weeks,Pit Bull Mix,Blue/White
A693914,Karma,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White/Tan
A693969,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 weeks,Pit Bull Mix,Blue/White
A693963,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 weeks,Pit Bull Mix,White/Blue
A693970,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 weeks,Pit Bull Mix,Blue/White
A693965,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 weeks,Pit Bull Mix,Blue/White
A693968,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 weeks,Pit Bull Mix,Blue/White
A693971,,12/17/14,4:27PM,3417 Minnie St in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 weeks,Pit Bull Mix,Blue/White
A693967,*Betty,12/17/14,4:37PM,Baldridge Dr And Peaceful Hill Ln in Austin (TX),Stray,Normal,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,White/Brown
A683675,Wiz,12/17/14,5:03PM,4700 E Riverside Dr in Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan
A693973,*Sacramento,12/17/14,5:39PM,Bronco Bend And Carbondale in Austin (TX),Stray,Normal,Other,Intact Male,2 years,Californian Mix,White/Brown
A462580,Chico,12/17/14,11:36PM,N Lamar & Longsour in Austin (TX),Public Assist,Normal,Dog,Neutered Male,10 years,Pit Bull,Brown Brindle/White
A693974,Bear,12/18/14,9:52AM,12117 Manchaca Rd in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,German Shepherd Mix,Brown/Black
A693975,*Roscoe,12/18/14,9:54AM,5500 Peppertree Pkwy in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Fawn/White
A693964,Rocky,12/18/14,10:34AM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Miniature Schnauzer/Miniature Poodle,White
A693976,Luigi,12/18/14,11:03AM,12317 Pratolina Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
A693977,Hendrix,12/18/14,11:12AM,Esperanza And Tecate in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Catahoula Mix,White/Brown Merle
A693903,Molly,12/18/14,11:21AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,2 years,Rottweiler,Black/Tan
A621962,Ginger,12/18/14,11:39AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
A693982,Samson,12/18/14,11:45AM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,3 years,Guinea Pig Mix,Tricolor
A693984,,12/18/14,11:49AM,4400 Franklin Park Dr in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Belgian Malinois Mix,Tan/Black
A693985,Max,12/18/14,11:54AM,Fletcher Ln And Old Bee Caves Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Basenji/Jack Russell Terrier,White/Brown
A693989,Lobo,12/18/14,12:30PM,1200 W Saint Johns in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever/German Shepherd,Cream
A693991,Oso,12/18/14,12:30PM,1200 W Saint Johns in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever/German Shepherd,Tan
A692547,*Lilly,12/18/14,12:31PM,4212 Avenue D in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
A693987,,12/18/14,12:33PM,E Hwy 71 And Doctor Scott Dr in Del Valle (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black
A595620,Alfred,12/18/14,12:35PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Basset Hound Mix,Tan/White
A577308,Lobo,12/18/14,12:35PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Catahoula Mix,White/Tan
A693996,Major,12/18/14,12:50PM,Harris Branch And St Merryn Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Boxer Mix,Red/White
A693995,Sophia,12/18/14,12:50PM,Harris Branch And St Merryn Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Yellow
A693992,Lexi,12/18/14,12:52PM,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Anatol Shepherd/German Shepherd,Tan/Black
A608858,Spike,12/18/14,12:57PM,13710 Long Meadow in Travis (TX),Stray,Normal,Dog,Intact Male,4 years,Pit Bull Mix,White/Chocolate
A693994,,12/18/14,1:01PM,Bruce Jenner Ln And Jim Thorpe Ln in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Pit Bull Mix,Black/White
A637506,Molly,12/18/14,1:20PM,Travis (TX),Euthanasia Request,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,White/Tan
A679708,Ranger,12/18/14,1:20PM,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,10 months,Border Collie Mix,Black/White
A693997,,12/18/14,1:21PM,2100 East Saint Elmo Road in Austin (TX),Stray,Normal,Other,Neutered Male,1 year,Ferret Mix,Black/White
A694000,*Dodger,12/18/14,1:47PM,11501 Burnet Road in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Beagle/Chihuahua Shorthair,Tan/White
A693999,,12/18/14,1:47PM,11501 Burnet Road in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Rat Terrier Mix,Black/White
A693998,Harley,12/18/14,1:49PM,13800 Long Meadow in Travis (TX),Stray,Normal,Dog,Spayed Female,2 years,Catahoula Mix,White/Brown
A622464,Cake,12/18/14,2:01PM,Austin (TX),Public Assist,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Cream Tabby/White
A694004,Dodger,12/18/14,2:17PM,2302 Tern Cir in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Anatol Shepherd/Catahoula,Brown/Red
A694006,Gracie,12/18/14,2:47PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A694009,Scout Jupe,12/18/14,2:57PM,Stonewall And Bee Caves Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Miniature Poodle Mix,Black
A694008,Felix Jupe,12/18/14,2:57PM,Stonewall And Bee Caves Rd in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Chow Chow/Labrador Retriever,Black
A694007,,12/18/14,2:57PM,3900 Alexandria Dr in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Pit Bull Mix,Brown/White
A694010,Lucky,12/18/14,3:17PM,Bluff Springs Rd & Blue Meadow Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Tibetan Spaniel Mix,Sable/White
A694011,Twyla,12/18/14,3:22PM,7607 Blessing Ave #1112 in Austin (TX),Public Assist,Normal,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A693626,*Cody,12/18/14,3:27PM,South Lamar & Oltorf in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Cattle Dog/Anatol Shepherd,Brown/White
A694012,Zorro,12/18/14,3:40PM,Austin (TX),Euthanasia Request,Aged,Dog,Neutered Male,11 years,Labrador Retriever Mix,Black
A694013,Kandi,12/18/14,3:59PM,Airport Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,8 years,Labrador Retriever Mix,Chocolate/White
A693329,Chapito,12/18/14,4:07PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 months,Chihuahua Longhair Mix,Tan
A694016,,12/18/14,4:19PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby
A694015,*Mona,12/18/14,4:19PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A694017,,12/18/14,4:28PM,E Oltorf St & Burton Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair/Manchester Terrier,Black/Tan
A694020,,12/18/14,4:48PM,7209 S Pleasant Valley in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Brown Tabby
A641582,Cusi,12/18/14,5:09PM,1712 E 11Th St in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Catahoula Mix,Brown Brindle
A694022,,12/18/14,5:19PM,Slayton Dr in Austin (TX),Stray,Injured,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Calico
A693829,Mesha,12/18/14,5:34PM,Austin (TX),Public Assist,Normal,Cat,Spayed Female,4 years,Russian Blue Mix,Gray
A694023,,12/18/14,5:34PM,Austin (TX),Wildlife,Injured,Other,Intact Male,1 year,Opossum Mix,Sable
A694027,*Polly,12/18/14,5:47PM,2201 Montopolis in Austin (TX),Stray,Sick,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/White
A694028,,12/18/14,6:03PM,4404 E. Oltorf in Austin (TX),Stray,Normal,Cat,Intact Female,10 years,Domestic Shorthair Mix,White/Black
A694031,,12/18/14,6:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue
A694034,,12/18/14,6:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black Smoke
A694033,,12/18/14,6:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A694032,,12/18/14,6:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A694038,,12/19/14,10:05AM,5904 Lux St in Austin (TX),Stray,Sick,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White
A006100,Scamp,12/19/14,10:21AM,8700 Research Blvd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,7 years,Spinone Italiano Mix,Yellow/White
A619822,Sky,12/19/14,10:21AM,8700 Research Blvd in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Tan/White
A549098,Ladybug,12/19/14,10:21AM,8700 Research Blvd in Austin (TX),Public Assist,Normal,Dog,Spayed Female,6 years,Pit Bull/Labrador Retriever,Red
A694039,,12/19/14,10:24AM,6001 Airport Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A689009,Pinto,12/19/14,11:00AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,9 months,Pit Bull Mix,Brown Brindle/Blue
A689010,Daisy,12/19/14,11:00AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A693724,,12/19/14,11:11AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 months,Cardigan Welsh Corgi/Chihuahua Shorthair,Brown
A694041,Ty,12/19/14,11:26AM,9211 Laurlan Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,German Shepherd/Labrador Retriever,Brown/Black
A694046,Cat Woman,12/19/14,11:38AM,8104 Linden in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever,Black/White
A694047,Rello,12/19/14,11:38AM,8104 Linden in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
A694042,*Ollie,12/19/14,11:38AM,8104 Linden in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Pit Bull,Black/White
A694043,*Otto,12/19/14,11:38AM,8104 Linden in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Pit Bull,Black
A694045,*Jack,12/19/14,11:38AM,8104 Linden in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Pit Bull,Black/White
A694044,Denver,12/19/14,11:38AM,8104 Linden in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Pit Bull,Brown Brindle/White
A694050,,12/19/14,11:42AM,4505 Terry-O Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 week,Anatol Shepherd Mix,Sable
A694049,*Annie,12/19/14,11:42AM,4505 Terry-O Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Anatol Shepherd/Labrador Retriever,Brown/Black
A694052,,12/19/14,11:42AM,4505 Terry-O Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Anatol Shepherd Mix,Black
A694051,,12/19/14,11:42AM,4505 Terry-O Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Anatol Shepherd Mix,Black
A694053,,12/19/14,11:42AM,4505 Terry-O Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Anatol Shepherd Mix,Black
A694054,Umpire,12/19/14,11:51AM,Keepsake And Dulcet in Austin (TX),Stray,Normal,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Orange Tabby
A694055,Stella,12/19/14,12:28PM,2613 S 1St St in Austin (TX),Stray,Normal,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black
A694056,,12/19/14,12:58PM,2309 Berkeley Ave in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby
A693743,Tucker,12/19/14,1:32PM,2200 Robert Dedman in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Rhod Ridgeback Mix,Tan
A694059,Simon,12/19/14,1:56PM,2005 Willow Creek Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Boxer/Staffordshire,Black/White
A694060,Solomon,12/19/14,2:20PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,11 months,Chihuahua Shorthair Mix,Cream
A694063,Reeses,12/19/14,2:32PM,Parker Ln And Timber Ridge Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown Brindle
A694065,Buster,12/19/14,3:15PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby
A694067,Skittles,12/19/14,3:15PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
A694066,Smokey,12/19/14,3:15PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby
A694064,Patches,12/19/14,3:28PM,7703 Lowdes Dr in Austin (TX),Public Assist,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue/White
A693452,Moe,12/19/14,3:30PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A694069,Remy,12/19/14,4:00PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 years,Russian Blue Mix,Blue
A694071,Magnus,12/19/14,4:50PM,Austin (TX),Owner Surrender,Injured,Dog,Intact Male,2 months,Pit Bull Mix,Black Brindle
A694070,*Hunca Munca,12/19/14,4:51PM,7626 Northveiw in Travis (TX),Stray,Sick,Dog,Intact Female,3 years,Staffordshire Mix,Blue
A613676,Hudson Hawk,12/19/14,5:22PM,902 Olive St in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Beagle,White/Tan
A694072,,12/19/14,5:32PM,4803 Louis Ave in Austin (TX),Stray,Injured,Cat,Unknown,1 year,Domestic Medium Hair Mix,Blue
A694073,Nala,12/19/14,6:07PM,7701 Ponoma Trail in Austin (TX),Stray,Normal,Dog,Intact Female,11 months,Golden Retriever Mix,Red
A673232,King,12/19/14,6:39PM,9904 Fm 812 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Black/Tan
A694078,*Kinsey,12/19/14,10:28PM,2111 W Braker in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Soft Coated Wheaten Terrier/Standard Poodle,Black/White
A694087,*Merry,12/20/14,7:43AM,Hickman/Patton in Austin (TX),Stray,Pregnant,Dog,Intact Female,2 years,Australian Cattle Dog/Labrador Retriever,Red Merle
A694088,*Tanner,12/20/14,8:30AM,14312 Hunters Bend in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Tan/White
A694101,Bella,12/20/14,10:50AM,5118 Heflin Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,Tricolor
A694102,Dumaris,12/20/14,11:04AM,5600 Nancy Drive A in Austin (TX),Stray,Normal,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Torbie
A694103,,12/20/14,11:14AM,12001 Dessau Rd (Walnut Creek Apts) in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A665841,Cormac,12/20/14,11:33AM,Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,3 years,Australian Kelpie/Blue Lacy,Fawn
A694104,Max,12/20/14,11:42AM,Austin (TX),Stray,Normal,Cat,Neutered Male,7 years,Persian Mix,Brown Tabby
A692491,Bailey,12/20/14,12:00PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 months,Black Mouth Cur Mix,Brown/Black
A694108,,12/20/14,12:16PM,14501 Sandifer St in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund/Beagle,Tricolor
A694109,*Zachary,12/20/14,12:38PM,Mary And South Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Collie Smooth Mix,White/Brown
A576207,,12/20/14,12:57PM,6700 S 1St St in Austin (TX),Stray,Injured,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black
A502315,Milo,12/20/14,1:09PM,10420 Fm812 in Travis (TX),Stray,Injured,Dog,Neutered Male,8 years,Parson Russell Terrier,White/Brown
A619073,Rocco,12/20/14,1:10PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,3 years,Miniature Pinscher/Chihuahua Shorthair,Tan/Black
A694112,Gabby,12/20/14,1:15PM,12117 Manchaca in Travis (TX),Stray,Normal,Dog,Intact Female,5 years,Sealyham Terr Mix,White/Gray
A694113,Rooster,12/20/14,1:36PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,1 year,Chicken Mix,Brown/Black
A694062,Bandit,12/20/14,1:42PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black
A639613,Sparkle,12/20/14,2:01PM,2615 Crystal Bend Dr in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black/White
A694114,,12/20/14,2:19PM,3351 Killingsworth Ln in Pflugerville (TX),Stray,Normal,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Yellow/White
A694115,Gambit,12/20/14,2:49PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Boxer Mix,Brown Brindle
A681226,Chico,12/20/14,3:19PM,Bluff Springs Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown/White
A694120,,12/20/14,3:39PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Finch,Gray/Black
A694121,,12/20/14,3:39PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Finch,White/Gray
A694123,,12/20/14,3:39PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Female,1 year,Parakeet,Green
A694122,,12/20/14,3:39PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Female,1 year,Parakeet,White
A694117,Molly,12/20/14,3:39PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,3 years,Guinea Pig Mix,Tricolor
